iter	Passed	Remaining
525	34690	31261
526	34747	31187
527	34814	31121
528	34873	31049
529	34929	30975
530	34986	30901
531	35063	30845
532	35127	30778
533	35185	30705
534	35244	30633
535	35306	30564
536	35367	30493
537	35437	30431
538	35501	30364
539	35561	30292
540	35631	30230
541	35692	30160
542	35748	30086
543	35802	30010
544	35863	29940
545	35926	29873
546	35988	29803
547	36056	29739
548	36120	29672
549	36184	29605
550	36275	29560
551	36366	29514
552	36465	29476
553	36525	29404
554	36592	29339
555	36660	29275
556	36718	29203
557	36772	29127
558	36833	29058
559	36891	28986
560	36946	28911
561	37001	28837
562	37062	28767
563	37163	28728
564	37238	28670
565	37306	28605
566	37374	28541
567	37434	28470
568	37503	28407
569	37574	28345
570	37634	28275
571	37707	28214
572	37774	28149
573	37842	28085
574	37908	28019
575	37977	27955
576	38040	27887
577	38097	27814
578	38160	27746
579	38221	27677
580	38282	27607
581	38337	27534
582	38392	27460
583	38449	27388
584	38505	27315
585	38593	27265
586	38698	27227
587	38782	27173
588	38843	27104
589	38909	27038
590	38982	26978
591	39045	26909
592	39117	26848
593	39184	26782
594	39246	26714
595	39306	26644
596	39369	26575
597	39442	26514
598	39501	26443
599	39559	26373
600	39627	26308
601	39692	26241
602	39756	26174
603	39813	26102
604	39873	26033
605	39945	25971
606	40009	25903
607	40072	25836
608	40133	25766
609	40189	25694
610	40250	25626
611	40307	25554
612	40365	25483
613	40427	25415
614	40485	25344
615	40545	25275
616	40605	25205
617	40662	25134
618	40726	25067
619	40831	25025
620	40899	24961
621	40956	24890
622	41012	24817
623	41071	24747
624	41140	24684
625	41196	24612
626	41259	24544
627	41321	24476
628	41377	24405
629	41432	24333
630	41494	24265
631	41549	24193
632	41608	24123
633	41669	24055
634	41727	23985
635	41790	23917
636	41849	23848
637	41908	23778
638	41968	23710
639	42027	23640
640	42092	23574
641	42154	23506
642	42212	23436
643	42274	23369
644	42338	23302
645	42421	23246
646	42508	23192
647	42567	23122
648	42624	23052
649	42685	22984
650	42741	22913
651	42801	22844
652	42859	22775
653	42926	22710
654	43062	22681
655	43131	22617
656	43192	22549
657	43256	22482
658	43320	22416
659	43383	22348
660	43443	22280
661	43505	22212
662	43567	22145
663	43628	22077
664	43702	22015
665	43762	21947
666	43822	21878
667	43889	21813
668	43946	21743
669	44012	21677
670	44075	21610
671	44148	21548
672	44209	21480
673	44290	21422
674	44376	21366
675	44448	21303
676	44509	21235
677	44571	21168
678	44632	21100
679	44699	21034
680	44769	20971
681	44852	20913
682	44919	20848
683	44974	20777
684	45049	20716
685	45114	20650
686	45218	20601
687	45311	20548
688	45372	20480
689	45430	20410
690	45488	20341
691	45542	20270
692	45598	20200
693	45657	20131
694	45714	20061
695	45773	19993
696	45834	19925
697	45897	19858
698	45954	19788
699	46010	19718
700	46078	19653
701	46137	19585
702	46202	19519
703	46259	19450
704	46336	19389
705	46396	19320
706	46456	19252
707	46512	19183
708	46573	19115
709	46630	19046
710	46688	18977
711	46746	18908
712	46806	18840
713	46861	18770
714	46915	18700
715	46969	18630
716	47026	18561
717	47084	18492
718	47144	18424
719	47203	18357
720	47260	18287
721	47339	18227
722	47468	18186
723	47533	18120
724	47603	18056
725	47669	17991
726	47733	17924
727	47797	17858
728	47865	17793
729	47935	17729
730	48000	17663
731	48063	17597
732	48126	17530
733	48203	17468
734	48266	17402
735	48329	17335
736	48391	17268
737	48452	17201
738	48529	17139
739	48587	17071
740	48659	17007
741	48718	16939
742	48777	16871
743	48836	16804
744	48896	16736
745	48967	16672
746	49032	16606
747	49092	16539
748	49158	16473
749	49215	16405
750	49273	16336
751	49335	16270
752	49397	16203
753	49457	16136
754	49519	16069
755	49633	16019
756	49694	15952
757	49773	15890
758	49842	15826
